id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,1.b_genero,2.b_setor,2.c_numero_de_funcionarios,2.f_cargo_atual,2.h_faixa_salarial
3289,1,MT,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Feminino,Setor Público,de 1.001 a 3.000,Estatístico,de R$ 6.001/mês a R$ 8.000/mês
3290,1,PB,Menos de 1 ano,de 1 a 2 anos,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Masculino,Finanças ou Bancos,Acima de 3.000,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 4.001/mês a R$ 6.000/mês
3291,1,MT,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Feminino,Finanças ou Bancos,de 101 a 500,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
3292,1,MT,de 1 a 2 anos,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,de 51 a 100,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
3293,1,MT,de 1 a 2 anos,de 3 a 4 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Agronegócios,de 11 a 50,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 4.001/mês a R$ 6.000/mês
3294,1,MT,de 1 a 2 anos,de 5 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,de 1.001 a 3.000,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
3295,1,MT,de 3 a 4 anos,Menos de 1 ano,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Tecnologia/Fábrica de Software,de 101 a 500,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
3296,1,MT,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,Acima de 3.000,Analista de BI/BI Analyst,de R$ 3.001/mês a R$ 4.000/mês
3297,1,MT,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,de 1.001 a 3.000,Analista de BI/BI Analyst,de R$ 3.001/mês a R$ 4.000/mês
3298,1,MT,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Outra Opção,de 51 a 100,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
3299,1,MT,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,Acima de 3.000,Analista de Suporte/Analista Técnico,de R$ 8.001/mês a R$ 12.000/mês
3300,1,MT,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Finanças ou Bancos,Acima de 3.000,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
3301,1,MT,de 3 a 4 anos,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Agronegócios,de 51 a 100,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês
3302,1,MT,de 3 a 4 anos,de 3 a 4 anos,Doutorado ou Phd,Outra opção,Masculino,Agronegócios,de 501 a 1.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3303,1,MT,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Outra Opção,de 101 a 500,Analista de Negócios/Business Analyst,de R$ 6.001/mês a R$ 8.000/mês
3304,1,PB,de 1 a 2 anos,Menos de 1 ano,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Varejo,de 101 a 500,Analytics Engineer,de R$ 6.001/mês a R$ 8.000/mês
